Date,City,Cause of Death
11/27/03,199 Km National Highway -  Nuevo Laredo -  Tamaulipas -  Mexico,Veh. Accident-Auto
12/5/03,Santa Rosalia -  Baja California Sur -  Mexico,Suicide
12/8/03,Manzanillo -  Colima -  Mexico,Natural Disaster
12/12/03,Between Martinica And Loma Linda -  San Juan De Los Lagos -  Jalisco -  Mexico,Veh. Accident-Auto
12/13/03,Highway Guaymas-hermosillo -  Guaymas -  Sonora -  Mexico,Air Accident
12/13/03,Highway Guaymas-hermosillo -  Guaymas -  Sonora -  Mexico,Air Accident
12/14/03,Cuernavaca -  Morelos -  Mexico,Suicide
12/18/03,Abasolo-cueramaro Highway -  Guanajuato -  Mexico,Veh. Accident-Auto
12/18/03,Ajijic -  Chapala -  Jalisco -  Mexico,Natural Disaster
12/20/03,Akumal -  Quintana Roo -  Mexico,Veh. Accident-Auto
12/20/03,Akumal -  Quintana Roo -  Mexico,Veh. Accident-Auto
12/20/03,Akumal -  Quintana Roo -  Mexico,Veh. Accident-Auto
12/22/03,Km 135+100 -  San Luis Potosi-queretaro Highway -  Mexico,Veh. Accident-Auto
12/22/03,Km 135+100 -  San Luis Potosi-queretaro Highway -  Mexico,Veh. Accident-Auto
12/22/03,Santa Rosa-la Barca Freeway -  Poncitlan -  Jalisco -  Mexico,Veh. Accident-Auto
12/25/03,Acapulco -  Guerrero -  Mexico,Other Accident
12/25/03,Km 87 Mexico-cuernavaca Highway -  Cuernavaca -  Morelos -  Mexico,Veh. Accident-Auto
12/25/03,Km 87 Mexico-cuernavaca Highway -  Cuernavaca -  Morelos -  Mexico,Veh. Accident-Auto
12/28/03,Enseada -  Baja California Norte -  Mexico,Homicide
12/31/03,Tijuana -  Baja California Norte -  Mexico,Homicide
1/2/04,Highway 54 -  Km 120 -  Villa De Cos -  Zacatecas -  Mexico,Veh. Accident-Auto
1/4/04,Lazaro Cardenas -  Michoacan -  Mexico,Drowning
1/4/04,Sanatorio Lourdes -  Navojoa -  Sonora -  Mexico,Veh. Accident-Auto
1/6/04,Cozumel -  Quintana Roo -  Mexico,Drowning
1/7/04,Ciudad Mante -  Tamaulipas -  Mexico,Other Accident
1/7/04,Ixtapa -  Zihuatanejo -  Guerrero -  Mexico,Drowning
1/8/04,Acapulco -  Guerrero -  Mexico,Suicide
1/9/04,Tecate -  Baja California Norte -  Mexico,Veh. Accident-Auto
1/14/04,Highway 45 -  Km 245 -  Concepcion Deloro -  Zacatecas -  Mexico,Veh. Accident-Auto
1/14/04,Highway 45 -  Km 245 -  Concepcion Deloro -  Zacatecas -  Mexico,Veh. Accident-Auto
1/15/04,San Quintin -  Baja California Norte -  Mexico,Suicide
1/18/04,Ensenada -  Baja California Norte -  Mexico,Drowning
1/18/04,San Miguel De Allende -  Guanajuato -  Mexico,Other Accident
1/18/04,San Miguel De Allende -  Guanajuato -  Mexico,Other Accident
1/18/04,Tijuana -  Baja California Norte -  Mexico,Veh. Accident-Auto
1/19/04,Cozumel -  Quintana Roo -  Mexico,Drowning
1/19/04,Highway Guadalajara-maravatio -  Km 411 -  Jalisco -  Mexico,Veh. Accident-Auto
1/19/04,Matehuala -  San Luis Potosi -  Mexico,Veh. Accident-Pedestrian
1/21/04,Cozumel -  Quintana Roo -  Mexico,Maritime Accident
1/23/04,Vicente Guerrero -  Baja California Norte -  Mexico,Veh. Accident-Motorcycle
1/24/04,Km 2 Cd Victoria-matamoros Highway -  Guemez -  Tamaulipas -  Mexico,Veh. Accident-Motorcycle
1/25/04,Nuevo Laredo -  Tamaulipas -  Mexico,Homicide
1/28/04,Red Cross Rosarito -  Baja California Norte -  Mexico,Veh. Accident-Auto
1/30/04,Blvd. Francisco Medina Ascencio S/n -  Puerto Vallarta -  Jalisco -  Mexico,Veh. Accident-Auto
1/30/04,Reynosa -  Tamaulipas -  Mexico,Homicide
2/4/04,Cancun -  Quintana Roo -  Mexico,Drowning
2/4/04,Tijuana -  Baja California Norte -  Mexico,Homicide
2/4/04,Tijuana -  Baja California Norte -  Mexico,Homicide
2/6/04,Merida -  Yucatan -  Mexico,Suicide
2/7/04,Fernando Moreno Pena Crossroad Km 07-400 -  Tecoman -  Colima -  Mexico,Veh. Accident-Auto
2/10/04,Floores Magon-villahumada Highway -  Chihuahua -  Mexico,Veh. Accident-Auto
2/10/04,Tijuana -  Baja California Norte -  Mexico,Homicide
2/10/04,Tijuana -  Baja California Norte -  Mexico,Homicide
2/12/04,Camino A Escudero Y Camino Viejo A San Jose -  Cd Juarez -  Mexico,Homicide
2/13/04,Tulum Ave Sur No. 260 -  Cancun -  Quintana Roo -  Mexico,Veh. Accident-Auto
2/14/04,Playas De Tijuana -  Baja California Norte -  Mexico,Homicide
2/19/04,Barranca De Amanalco -  Cuernavaca -  Morelos -  Mexico,Other Accident
2/19/04,Carretera Benito Juarez Km. 86.7 -  Angostura -  Sinaloa -  Mexico,Veh. Accident-Auto
2/20/04,Cancun -  Quintana Roo -  Mexico,Veh. Accident-Auto
2/22/04,Colonia Jardin -  Nuevo Laredo -  Tamaulipas -  Mexico,Veh. Accident-Auto
2/23/04,Tijuana -  Baja California Norte -  Mexico,Homicide
2/26/04,Boulevard Honduras Crossing -  Fracc. Santa Fe -  Guadalarajara -  Jalisco -  Mexico,Veh. Accident-Pedestrian
3/4/04,Mexicali -  Baja Caliifornia Norte -  Mexico,Suicide
3/7/04,Sonoyta -  Sonora -  Mexico,Veh. Accident-Auto
3/13/04,Rosarito -  Baja Calif0rnia Norte -  Mexico,Veh. Accident-Auto
3/16/04,Cancun -  Quintana Roo -  Mexico,Veh. Accident-Bus
3/16/04,Tulum -  Quintana Roo -  Mexico,Drowning
3/17/04,Km 14 Freeway Acatlan De Juarez - Zacoalco De Torres -  Jalisco -  Mexico,Veh. Accident-Auto
3/18/04,Kukulcan Blvd. -  Cancun -  Quitana Roo -  Mexico,Other Accident
3/18/04,Matamoros -  Tamaulipas,Other Accident
3/18/04,Rincon De Guayabitos -  Nayarit -  Mexico,Drowning
3/21/04,Col Guerrero -  Nuevo Laredo -  Tamaulipas -  Mexico,Homicide
3/22/04,Chihuahua-namiquipa Highway Km 43 -  El Terrero -  Chihuahua -  Mexico,Veh. Accident-Auto
3/26/04,Luis Donaldo Colosio S-n -  Col. El Remace -  Puerto Vallarta -  Jalisco -  Mexico,Veh. Accident-Auto
3/27/04,Highway Km 186.2 Rosario-escuinapa -  Sinaloa -  Mexico,Veh. Accident-Auto
3/30/04,Tinum -  Yucatan -  Mexico,Other Accident
3/31/04,Tecate -  Baja California Norte -  Mexico,Homicide
3/31/04,Tecate -  Baja California Norte -  Mexico,Homicide
4/2/04,Tijuana -  Baja California Norte -  Mexico,Veh. Accident-Auto
4/4/04,Monterrey -  Nuevo Leon -  Mexico,Veh. Accident-Auto
4/5/04,La Paz -  Baja California Sur -  Mexico,Veh. Accident-Auto
4/7/04,Juan Aldama El Tigre -  Navolato -  Sinaloa -  Mexico,Air Accident
4/7/04,Juan Aldama El Tigre -  Navolato -  Sinaloa -  Mexico,Air Accident
4/7/04,Piedras Negras -  Coahuila -  Mexico,Other Accident
4/8/04,Playa Del Carmen -  Quitana Roo -  Mexico,Drowning
4/10/04,Puerto Escondido -  Oaxaca -  Mexico,Drowning
