Date,City,Cause of Death
2/27/15,New South Wales,Suicide
3/10/15,Silverton -  New South Wales,Veh. Accid-Motorcy.
3/13/15,Perth -  Western Australia,Suicide
3/20/15,Bedforddale -  Near Jarrahdale -  Western Australia,Veh. Accid-Auto
3/21/15,Carins -  Queensland,Drowning
7/7/15,Surry Hills -  New South Wales,Suicide
8/6/15,Cairns,Drowning
9/5/15,Melbourne,Suicide
9/24/15,Melbourne,Suicide
10/2/15,Canberra,Other Accident
1/24/16,Queensland,Veh. Accid-Motorcy.
2/19/16,Queensland,Suicide
3/7/16,Queensland,Drowning
6/1/16,Queensland,Drowning
6/6/16,New South Wales,Drowning
6/6/16,Victoria,Homicide
7/16/16,Victoria,Undetermined/Unknown
7/23/16,Lithgow -  New South Wales,Homicide
10/27/16,Goomboorian -  Queensland,Veh. Accid-Auto
10/30/16,Wandandian -  Nowra -  New South Wales,Veh. Accid-Auto
11/7/16,Nambour -  Queensland,Undetermined/unknown
12/6/16,Tweed Heads -  New South Wales,Other Accident
12/15/16,Liverpool -  New South Wales,Undetermined/Unknown
12/25/16,Cottesloe -  Western Australia,Undetermined/Unknown
1/18/17,Queensland,Drowning
2/10/17,South Australia,Suicide
2/18/17,New South Wales,Suicide
2/21/17,Victoria,Air Accident
2/21/17,Victoria,Air Accident
2/21/17,Victoria,Air Accident
2/21/17,Victoria,Air Accident
4/10/17,Victoria,Veh. Accid-Bus
9/3/17,Greensborough -  Victoria,Suicide
10/28/17,Howard Springs -  Northern Territory,Unknown/Undetermined
1/9/18,Wollongong -  New South Wales,Drowning
1/10/18,Niagara Park -  New South Wales,Suicide
3/21/18,Whitsundays -  Queensland,Air Accident
3/21/18,Whitsundays -  Queensland,Air Accident
4/29/18,Gerogery -  New South Wales,Veh. Accid-Auto
4/29/18,Gerogery -  New South Wales,Veh. Accid-Auto
5/22/18,Caringbah - New South Wales,Drug-Related
7/16/18,Railway Estate -  Queensland,Undetermined/Unknown
7/23/18,Kurnell -  New South Wales,Drowning
10/27/18,Port Douglas -  Queensland,Drowning
11/23/18,Horseshoe Bay -  Queensland,Drowning
1/31/19,Sydney -  Australia,Veh. Accid-Auto
12/5/02,Oberwart -  Austria,Other Accident
12/8/02,Krems -  Austria,Veh. Accident-Auto
12/21/02,Graz -  Austria,Suicide
9/24/03,Vienna -  Austria,Other Accident
12/16/03,Federal Highway B-154 Between Plomberg And Scharfling -  Austria,Veh. Accident-Auto
5/28/04,Angath -  Tyrol -  A12 Austrian Highway -  Austra,Veh. Accident-Auto
1/22/05,Gampberg Mountain -  St. Anton -  Tyrol -  Austria,Disaster
9/17/05,Triesterstrasse -  Graz -  Austria,Veh. Accident-Auto
5/3/06,Rosianfeld 2 -  St. Johann Im Pongau -  Austria,Other Accident
5/3/06,Rosianfeld 2 -  St. Johann Im Pongau -  Austria,Other Accident
8/12/06,Kufstein -  Austria,Suicide
9/14/06,Brand -  Vorarlberg -  Austria,Other Accident
10/18/06,Vienna -  Austria,Suicide
10/22/07,Schottenfeldgasse 3 -  Neusiedl/zaya,Other Accident
5/19/08,Vienna -  Austria,Suicide
6/11/08,Salzburg -  Austria,Veh. Accident-Auto
6/30/08,Haritzersteig-leiterschlucht -  Carinthia -  Austria,Other Accident - Mountain Climbing
9/13/08,Vienna -   Austria,Other Accident
12/3/08,Vienna -   Austria,Suicide
5/26/09,Salzburg -  Austria,Veh. Accid-Auto
7/5/09,Baden. Austria,Suicide
11/26/09,Jennersdorf -  Austria,Suicide
2/3/10,Salzburg -  Austria,Other Accident
10/8/10,Vienna -  Austria,Suicide
11/16/10,Reutte -  Austria,Other Accident
2/14/11,Salzburg -  Austria,Other Accident
12/29/11,Vienna -  Austria,Other Accident
6/28/12,St. Nikola an der Donau -  Austria,Suicide
9/13/12,Vienna -  Austria,Drug-Related
11/9/12,Klagenfurt -  Austria,Suicide
8/19/13,Vienna -  Austria,Suicide
1/1/14,Rohrberg,Veh. Accid-Auto
1/5/15,Soelden -  Tyrol,Natural Disaster
1/5/15,Soelden -  Tyrol,Natural Disaster
1/7/15,Hohenems,Suicide
6/7/16,Innsbruck,Other Accident
4/29/18,Reutte -  Tyrol,Other Accident
8/1/17,Baku,Drowning
11/17/02,Island Of San Salvador -  The Bahamas,Drowning
12/15/02,Providenciales -  Turks And Caicos Islands -  British West Indies,Drowning
1/1/03,Andros -  The Bahamas,Drowning
1/21/03,Nassau -  The Bahamas,Drowning
3/25/03,Mermaid Reef -  Marsh Harbour -  Abaco -  The Bahamas,Drowning
5/31/03,Green Turtle Cay -  Abaco -  The Bahamas,Maritime Accident
7/18/03,Freeport -  Grand Bahamas -  The Bahamas,Air Accident
8/15/03,Freeport -  Grand Bahamas -  The Bahamas,Drowning
8/29/03,Cable Beach -  Nassau -  The Bahamas,Maritime Accident
12/10/03,Nassau -  The Bahamas,Drowning
1/3/04,Bimini -  The Bahamas,Drowning
1/23/04,Freeport -  The Bahamas,Veh. Accident-Auto
5/27/04,Marsh Harbour -  Abaco -  The Bahamas,Air Accident
5/27/04,Marsh Harbour -  Abaco -  The Bahamas,Air Accident
5/28/04,Cat Cay -  Bimini -  The Bahamas,Drowning
6/15/04,Guana Cay -  Abaco -  The Bahamas,Drowning
8/1/04,Harbour Island -  Eleuthera -  The Bahamas,Drowning
10/19/04,New Bight -  Cat Island -  The Bahamas,Homicide
10/29/04,Cabbage Beach -  Nassau -  The Bahamas,Drowning
11/23/04,Paradise Island -  Nassau -  The Bahamas,Maritime Accident
1/9/05,Greenwood Resort -  Cat Island -  The Bahamas,Other Accident
2/9/05,Freeport -  The Bahamas,Suicide
3/3/05,Big Whale Cay -  Berry Islands -  The Bahamas,Drowning
3/3/05,Big Whale Cay -  Berry Islands -  The Bahamas,Drowning
3/25/05,Gun Cay -  Bimini -  The Bahamas,Drowning
